name,url,pages,source
Apple,https://www.investing.com/equities/apple-computer-inc-news/{page},8,investing
Microsoft,https://www.investing.com/equities/microsoft-corp-news/{page},8,investing
Tesla,https://www.investing.com/equities/tesla-motors-news/{page},8,investing
Meta,https://www.investing.com/equities/facebook-inc-news/{page},8,investing
